reference,id,source,type,business,price,price_num,price_m2,area_m2,private_area,private_area_num,total_area,total_area_num,land_area,land_area_num,dorms,suites,bathrooms,parking,floor,address_complete,street,number,neighborhood,city,uf,latitude,longitude,advertiser,updated_days,url
52520000871,5a61299a-0876-486a-a071-8ff2606e87d1,sub100,Apartamento,Venda,"950.000,00",950000.0,4523.81,210.0,"210,00",210.0,"0,00",0.0,"0,00",0.0,3,1,2,2,,"Praça Manoel Ribas, 453 - Zona 04, Maringá - PR",Praça Manoel Ribas,453,Zona 04,Maringá,PR,-23.425195,-51.947854,MAGNANI IMOVEIS LTDA,0,https://sub100.com.br/imoveis/52520000871/venda/apartamento-em-maringa-pr/zona-04
99920001610,5c262a31-44b2-4640-bb30-c89352d1f271,sub100,Casa,Venda,"950.000,00",950000.0,3166.67,300.0,"0,00",0.0,"300,00",300.0,"0,00",0.0,1,1,2,0,,"Rua Pioneiro Arlindo Pedralli, 678 - Parque das Laranjeiras, Maringá - PR",Rua Pioneiro Arlindo Pedralli,678,Parque das Laranjeiras,Maringá,PR,-23.389628,-51.9585144,Dubai Imóveis,0,https://sub100.com.br/imoveis/99920001610/venda/casa-em-maringa-pr/parque-das-laranjeiras
21220001967,d2d453cd-2f1b-45ee-ac01-7698e304703f,sub100,Casa,Venda,"950.000,00",950000.0,5937.5,160.0,"0,00",0.0,"160,00",160.0,"0,00",0.0,2,1,3,3,,"Rua Pioneira Irene Vitorazo Fregonezi,  - Jardim Munique, Maringá - PR",Rua Pioneira Irene Vitorazo Fregonezi,,Jardim Munique,Maringá,PR,-23.37091618560819,-51.95916354652189,Imobiliária Herval,248,https://sub100.com.br/imoveis/21220001967/venda/casa-em-maringa-pr/jardim-munique
87420000011,d4654293-a58b-4356-88af-4f50ae22ab79,sub100,Casa,Venda,"950.000,00",950000.0,6762.05,140.49,"0,00",0.0,"140,49",140.49,"276,75",276.75,2,1,3,2,,"Rua Pioneiro Benjamin Fernandes Dias, 161 - Jardim Iguaçu, Maringá - PR",Rua Pioneiro Benjamin Fernandes Dias,161,Jardim Iguaçu,Maringá,PR,-23.4468715,-51.95656330000001,Guerra Imóveis,0,https://sub100.com.br/imoveis/87420000011/venda/casa-em-maringa-pr/jardim-iguacu
2020003331,acd74674-4cbe-4699-b56f-8a0600617653,sub100,Casa,Venda,"950.000,00",950000.0,5367.23,177.0,"0,00",0.0,"177,00",177.0,"325,00",325.0,2,1,3,4,,"Rua Netuno, 107 - Jardim Imperial II, Maringá - PR",Rua Netuno,107,Jardim Imperial II,Maringá,PR,-23.3953295,-51.9360487,Lélo Imóveis,0,https://sub100.com.br/imoveis/2020003331/venda/casa-em-maringa-pr/jardim-imperial-ii
91020001227,adbfe524-dfa3-484b-be80-717fd2793635,sub100,Apartamento,Venda,"950.000,00",950000.0,11176.47,85.0,"85,00",85.0,"85,00",85.0,"85,00",85.0,2,1,2,2,,"Avenida Londrina, 736 - Zona 08, Maringá - PR",Avenida Londrina,736,Zona 08,Maringá,PR,-23.435402,-51.913631,MURAKAMI IMOVEIS PRIME,0,https://sub100.com.br/imoveis/91020001227/venda/apartamento-em-maringa-pr/zona-08
99020000412,b0180ab6-b72e-4d30-8a86-661e12764d06,sub100,Casa,Venda,"950.000,00",950000.0,7142.86,133.0,"0,00",0.0,"133,00",133.0,"273,00",273.0,2,1,3,2,,"Rua Francisco Bulla, 151, 151 - Jardim Liberdade, Maringá - PR",Rua Francisco Bulla,151,Jardim Liberdade,Maringá,PR,-23.42106997601125,-51.895631613491815,Inovelli Imóveis,0,https://sub100.com.br/imoveis/99020000412/venda/casa-em-maringa-pr/jardim-liberdade
64220000818,b0376cff-41e3-4dc9-8078-b7c6105f390a,sub100,Casa,Venda,"950.000,00",950000.0,,0.0,"0,00",0.0,"0,00",0.0,"0,00",0.0,0,0,0,0,,"Avenida José Marchi,  - Jardim Espanha, Maringá - PR",Avenida José Marchi,,Jardim Espanha,Maringá,PR,-23.4595937,-51.9612442,Rodrigo Real Beraldo Corretor de Imóveis,0,https://sub100.com.br/imoveis/64220000818/venda/casa-em-maringa-pr/jardim-espanha
34020000435,b1262d39-3432-44a1-8058-2eea3c874ea4,sub100,Casa,Venda,"950.000,00",950000.0,5654.76,168.0,"0,00",0.0,"168,00",168.0,"239,20",239.2,2,1,2,3,,",  - Zona 31, Maringá - PR",,,Zona 31,Maringá,PR,-23.4209995,-51.9330558,André Sibilin Corretor de Imóveis,0,https://sub100.com.br/imoveis/34020000435/venda/casa-em-maringa-pr/zona-31
69520000158,b350ece6-cacc-41c4-a60f-f3323b2b06b4,sub100,Apartamento,Venda,"950.000,00",950000.0,6927.23,137.14,"137,14",137.14,"0,00",0.0,"0,00",0.0,2,1,3,2,,"Rua Rui Barbosa, 442, 101 - Zona 07, Maringá - PR",Rua Rui Barbosa,442,Zona 07,Maringá,PR,-23.41363606455664,-51.94408786566863,Vértice,0,https://sub100.com.br/imoveis/69520000158/venda/apartamento-em-maringa-pr/zona-07
